transaction_id,account_id,date,time,description,credit,debit,balance
TXN171445C530,ACC0204,2026-01-10,09:26:26,UPI Transfer to ACC0053,0,2966,77331
TXN171445C530,ACC0053,2026-01-10,09:26:26,UPI Received from ACC0204,2966,0,119919
TXN57ED31A213,ACC0291,2026-01-10,09:26:56,UPI Transfer to ACC0150,0,9109,70672
TXN57ED31A213,ACC0150,2026-01-10,09:26:56,UPI Received from ACC0291,9109,0,36395
TXN749D1FBCE0,ACC0119,2026-01-10,09:28:55,UPI Transfer to ACC0286,0,12262,90300
TXN749D1FBCE0,ACC0286,2026-01-10,09:28:55,UPI Received from ACC0119,12262,0,153599
TXN068B5C340D,ACC0214,2026-01-10,09:30:00,UPI Transfer to ACC0220,0,13606,98017
TXN068B5C340D,ACC0220,2026-01-10,09:30:00,UPI Received from ACC0214,13606,0,138372
TXN93DD5DE50E,ACC0031,2026-01-10,09:31:30,UPI Transfer to ACC0202,0,3497,94920
TXN93DD5DE50E,ACC0202,2026-01-10,09:31:30,UPI Received from ACC0031,3497,0,112674
TXN171E1CFA3A,ACC0011,2026-01-10,09:33:21,UPI Transfer to ACC0269,0,21270,107148
TXN171E1CFA3A,ACC0269,2026-01-10,09:33:21,UPI Received from ACC0011,21270,0,167586
TXNF733CE1B33,ACC0001,2026-01-10,09:34:16,UPI Transfer to ACC0249,0,18424,3952
TXNF733CE1B33,ACC0249,2026-01-10,09:34:16,UPI Received from ACC0001,18424,0,88666
TXN49873908E2,ACC0181,2026-01-10,09:36:14,UPI Transfer to ACC0017,0,8667,42488
TXN49873908E2,ACC0017,2026-01-10,09:36:14,UPI Received from ACC0181,8667,0,61693
TXN6CAF6E3D04,ACC0030,2026-01-10,09:37:01,UPI Transfer to ACC0073,0,5647,78712
TXN6CAF6E3D04,ACC0073,2026-01-10,09:37:01,UPI Received from ACC0030,5647,0,128225
TXNCA6FEC796A,ACC0204,2026-01-10,09:38:23,UPI Transfer to ACC0065,0,2304,75027
TXNCA6FEC796A,ACC0065,2026-01-10,09:38:23,UPI Received from ACC0204,2304,0,43878
TXNFFCA07B49F,ACC0160,2026-01-10,09:40:06,UPI Transfer to ACC0200,0,12638,99682
TXNFFCA07B49F,ACC0200,2026-01-10,09:40:06,UPI Received from ACC0160,12638,0,70814
TXN850F555D6D,ACC0171,2026-01-10,09:40:50,UPI Transfer to ACC0030,0,5047,59631
TXN850F555D6D,ACC0030,2026-01-10,09:40:50,UPI Received from ACC0171,5047,0,83759
TXN9E265AF8F1,ACC0163,2026-01-10,09:41:54,UPI Transfer to ACC0239,0,17600,12885
TXN9E265AF8F1,ACC0239,2026-01-10,09:41:54,UPI Received from ACC0163,17600,0,67976
TXN2ACDFF52C9,ACC0121,2026-01-10,09:42:38,UPI Transfer to ACC0038,0,18542,39894
TXN2ACDFF52C9,ACC0038,2026-01-10,09:42:38,UPI Received from ACC0121,18542,0,116450
TXNBDBE2626A3,ACC0121,2026-01-10,09:44:16,UPI Transfer to ACC0132,0,8051,31843
TXNBDBE2626A3,ACC0132,2026-01-10,09:44:16,UPI Received from ACC0121,8051,0,88217
TXN2E99610D28,ACC0047,2026-01-10,09:45:46,UPI Transfer to ACC0273,0,9901,79442
TXN2E99610D28,ACC0273,2026-01-10,09:45:46,UPI Received from ACC0047,9901,0,94921
TXN6E883F4E57,ACC0033,2026-01-10,09:47:37,UPI Transfer to ACC0264,0,9981,128193
TXN6E883F4E57,ACC0264,2026-01-10,09:47:37,UPI Received from ACC0033,9981,0,65611
TXN6F950FF335,ACC0024,2026-01-10,09:48:21,UPI Transfer to ACC0214,0,20012,57209
TXN6F950FF335,ACC0214,2026-01-10,09:48:21,UPI Received from ACC0024,20012,0,118029
TXN822CBBB9AF,ACC0261,2026-01-10,09:49:57,UPI Transfer to ACC0151,0,17030,16406
TXN822CBBB9AF,ACC0151,2026-01-10,09:49:57,UPI Received from ACC0261,17030,0,66522
TXN12AD7C4013,ACC0281,2026-01-10,09:51:28,UPI Transfer to ACC0058,0,21416,17356
TXN12AD7C4013,ACC0058,2026-01-10,09:51:28,UPI Received from ACC0281,21416,0,106935
TXNCECFAAFFC6,ACC0242,2026-01-10,09:53:07,UPI Transfer to ACC0110,0,8298,80190
TXNCECFAAFFC6,ACC0110,2026-01-10,09:53:07,UPI Received from ACC0242,8298,0,138012
TXN111CD179D2,ACC0127,2026-01-10,09:55:01,UPI Transfer to ACC0291,0,11146,13596
TXN111CD179D2,ACC0291,2026-01-10,09:55:01,UPI Received from ACC0127,11146,0,81818
TXN3BE847EA52,ACC0115,2026-01-10,09:56:51,UPI Transfer to ACC0066,0,19233,103122
TXN3BE847EA52,ACC0066,2026-01-10,09:56:51,UPI Received from ACC0115,19233,0,168980
TXNB5F385F1A3,ACC0176,2026-01-10,09:57:38,UPI Transfer to ACC0279,0,23789,38116
TXNB5F385F1A3,ACC0279,2026-01-10,09:57:38,UPI Received from ACC0176,23789,0,50633
TXNB5C2390036,ACC0163,2026-01-10,09:59:23,UPI Transfer to ACC0184,0,1171,11714
TXNB5C2390036,ACC0184,2026-01-10,09:59:23,UPI Received from ACC0163,1171,0,23519
TXNFD950F3E7A,ACC0049,2026-01-10,10:00:47,UPI Transfer to ACC0206,0,15527,98279
TXNFD950F3E7A,ACC0206,2026-01-10,10:00:47,UPI Received from ACC0049,15527,0,52199
TXNF6F119C027,ACC0199,2026-01-10,10:01:40,UPI Transfer to ACC0056,0,3412,96043
TXNF6F119C027,ACC0056,2026-01-10,10:01:40,UPI Received from ACC0199,3412,0,152704
TXN76F78D05D2,ACC0288,2026-01-10,10:03:25,UPI Transfer to ACC0149,0,11787,101645
TXN76F78D05D2,ACC0149,2026-01-10,10:03:25,UPI Received from ACC0288,11787,0,49680
TXNCA2381E471,ACC0150,2026-01-10,10:05:03,UPI Transfer to ACC0162,0,16124,20271
TXNCA2381E471,ACC0162,2026-01-10,10:05:03,UPI Received from ACC0150,16124,0,73572
TXNA3D95842F9,ACC0076,2026-01-10,10:05:51,UPI Transfer to ACC0118,0,7588,25781
TXNA3D95842F9,ACC0118,2026-01-10,10:05:51,UPI Received from ACC0076,7588,0,93585
TXN34116F728A,ACC0157,2026-01-10,10:07:12,UPI Transfer to ACC0180,0,8062,76577
TXN34116F728A,ACC0180,2026-01-10,10:07:12,UPI Received from ACC0157,8062,0,148404
TXN5F01D3841B,ACC0267,2026-01-10,10:08:10,UPI Transfer to ACC0273,0,11372,77595
TXN5F01D3841B,ACC0273,2026-01-10,10:08:10,UPI Received from ACC0267,11372,0,106293
TXN1EF75A9F89,ACC0296,2026-01-10,10:08:41,UPI Transfer to ACC0184,0,6215,98652
TXN1EF75A9F89,ACC0184,2026-01-10,10:08:41,UPI Received from ACC0296,6215,0,29734
TXN1A0C91BC78,ACC0070,2026-01-10,10:09:23,UPI Transfer to ACC0232,0,21835,50527
TXN1A0C91BC78,ACC0232,2026-01-10,10:09:23,UPI Received from ACC0070,21835,0,119514
TXN2063CEC3D4,ACC0082,2026-01-10,10:10:02,UPI Transfer to ACC0009,0,5879,92685
TXN2063CEC3D4,ACC0009,2026-01-10,10:10:02,UPI Received from ACC0082,5879,0,71087
TXN7D99CAF7F6,ACC0032,2026-01-10,10:11:35,UPI Transfer to ACC0235,0,9087,93917
TXN7D99CAF7F6,ACC0235,2026-01-10,10:11:35,UPI Received from ACC0032,9087,0,127146
TXN3D51941AE8,ACC0025,2026-01-10,10:13:34,UPI Transfer to ACC0129,0,3744,88209
TXN3D51941AE8,ACC0129,2026-01-10,10:13:34,UPI Received from ACC0025,3744,0,87210
TXNBB85750062,ACC0280,2026-01-10,10:15:16,UPI Transfer to ACC0023,0,1130,92952
TXNBB85750062,ACC0023,2026-01-10,10:15:16,UPI Received from ACC0280,1130,0,70085
TXN2CB5FB9FDA,ACC0280,2026-01-10,10:15:56,UPI Transfer to ACC0084,0,20294,72658
TXN2CB5FB9FDA,ACC0084,2026-01-10,10:15:56,UPI Received from ACC0280,20294,0,107602
TXNC492D2E482,ACC0062,2026-01-10,10:17:03,UPI Transfer to ACC0067,0,2290,92988
TXNC492D2E482,ACC0067,2026-01-10,10:17:03,UPI Received from ACC0062,2290,0,104441
TXN5A433BB7F3,ACC0180,2026-01-10,10:18:44,UPI Transfer to ACC0002,0,22687,125717
TXN5A433BB7F3,ACC0002,2026-01-10,10:18:44,UPI Received from ACC0180,22687,0,120909
TXN3AA192F23D,ACC0258,2026-01-10,10:19:17,UPI Transfer to ACC0290,0,1478,97244
TXN3AA192F23D,ACC0290,2026-01-10,10:19:17,UPI Received from ACC0258,1478,0,150486
TXND8381FECF2,ACC0050,2026-01-10,10:21:17,UPI Transfer to ACC0058,0,7320,127946
TXND8381FECF2,ACC0058,2026-01-10,10:21:17,UPI Received from ACC0050,7320,0,114255
TXN82AC9CAE21,ACC0178,2026-01-10,10:23:05,UPI Transfer to ACC0017,0,7059,110672
TXN82AC9CAE21,ACC0017,2026-01-10,10:23:05,UPI Received from ACC0178,7059,0,68752
TXND98B5D734E,ACC0164,2026-01-10,10:24:05,UPI Transfer to ACC0009,0,16981,113344
TXND98B5D734E,ACC0009,2026-01-10,10:24:05,UPI Received from ACC0164,16981,0,88068
TXN714497276A,ACC0096,2026-01-10,10:25:07,UPI Transfer to ACC0268,0,17959,109248
TXN714497276A,ACC0268,2026-01-10,10:25:07,UPI Received from ACC0096,17959,0,88101
TXNFE3F1B1131,ACC0112,2026-01-10,10:26:04,UPI Transfer to ACC0049,0,14611,13799
TXNFE3F1B1131,ACC0049,2026-01-10,10:26:04,UPI Received from ACC0112,14611,0,112890
TXN1F4C49B795,ACC0185,2026-01-10,10:27:09,UPI Transfer to ACC0240,0,10115,23900
TXN1F4C49B795,ACC0240,2026-01-10,10:27:09,UPI Received from ACC0185,10115,0,143482
TXNBCA5AAB539,ACC0279,2026-01-10,10:28:25,UPI Transfer to ACC0264,0,8711,41922
TXNBCA5AAB539,ACC0264,2026-01-10,10:28:25,UPI Received from ACC0279,8711,0,74322
TXNE2ADA0FDDB,ACC0254,2026-01-10,10:29:58,UPI Transfer to ACC0292,0,18171,4059
TXNE2ADA0FDDB,ACC0292,2026-01-10,10:29:58,UPI Received from ACC0254,18171,0,130855
TXN794C5BFA7B,ACC0116,2026-01-10,10:30:43,UPI Transfer to ACC0015,0,4069,107650
TXN794C5BFA7B,ACC0015,2026-01-10,10:30:43,UPI Received from ACC0116,4069,0,124473
TXN0041C1CB3C,ACC0295,2026-01-10,10:32:04,UPI Transfer to ACC0021,0,23606,77673
TXN0041C1CB3C,ACC0021,2026-01-10,10:32:04,UPI Received from ACC0295,23606,0,118640
TXND824E9926E,ACC0054,2026-01-10,10:33:44,UPI Transfer to ACC0020,0,18906,126112
TXND824E9926E,ACC0020,2026-01-10,10:33:44,UPI Received from ACC0054,18906,0,137597
TXN3EA5726259,ACC0233,2026-01-10,10:35:39,UPI Transfer to ACC0161,0,24626,57425
TXN3EA5726259,ACC0161,2026-01-10,10:35:39,UPI Received from ACC0233,24626,0,84742
TXN9C19F586E6,ACC0010,2026-01-10,10:36:20,UPI Transfer to ACC0148,0,12021,114130
TXN9C19F586E6,ACC0148,2026-01-10,10:36:20,UPI Received from ACC0010,12021,0,121396
TXN2FDEB13FD9,ACC0017,2026-01-10,10:37:12,UPI Transfer to ACC0045,0,23868,44884
TXN2FDEB13FD9,ACC0045,2026-01-10,10:37:12,UPI Received from ACC0017,23868,0,79851
TXN129FC62D65,ACC0159,2026-01-10,10:38:54,UPI Transfer to ACC0176,0,9425,53381
TXN129FC62D65,ACC0176,2026-01-10,10:38:54,UPI Received from ACC0159,9425,0,47541
TXNB00F3548AD,ACC0147,2026-01-10,10:39:57,UPI Transfer to ACC0173,0,23813,-1373
TXNB00F3548AD,ACC0173,2026-01-10,10:39:57,UPI Received from ACC0147,23813,0,148786
TXNFD61D176B5,ACC0298,2026-01-10,10:41:12,UPI Transfer to ACC0243,0,1329,141525
TXNFD61D176B5,ACC0243,2026-01-10,10:41:12,UPI Received from ACC0298,1329,0,111605
TXNA43DF4B8B1,ACC0246,2026-01-10,10:43:08,UPI Transfer to ACC0091,0,11218,22342
TXNA43DF4B8B1,ACC0091,2026-01-10,10:43:08,UPI Received from ACC0246,11218,0,63628
TXN5F83EECD27,ACC0099,2026-01-10,10:44:06,UPI Transfer to ACC0264,0,10123,66535
TXN5F83EECD27,ACC0264,2026-01-10,10:44:06,UPI Received from ACC0099,10123,0,84445
TXN5440EA1C84,ACC0127,2026-01-10,10:45:32,UPI Transfer to ACC0075,0,5520,8076
TXN5440EA1C84,ACC0075,2026-01-10,10:45:32,UPI Received from ACC0127,5520,0,114309
TXNF827EC27B8,ACC0147,2026-01-10,10:46:04,UPI Transfer to ACC0155,0,7519,-8892
TXNF827EC27B8,ACC0155,2026-01-10,10:46:04,UPI Received from ACC0147,7519,0,42149
TXN6492E08973,ACC0215,2026-01-10,10:46:55,UPI Transfer to ACC0125,0,12729,123931
TXN6492E08973,ACC0125,2026-01-10,10:46:55,UPI Received from ACC0215,12729,0,117701
TXNA7F6216E1F,ACC0196,2026-01-10,10:48:07,UPI Transfer to ACC0187,0,7249,136742
TXNA7F6216E1F,ACC0187,2026-01-10,10:48:07,UPI Received from ACC0196,7249,0,143885
TXNE6D75185CD,ACC0103,2026-01-10,10:49:54,UPI Transfer to ACC0065,0,22837,99390
TXNE6D75185CD,ACC0065,2026-01-10,10:49:54,UPI Received from ACC0103,22837,0,66715
TXNFFFB7B72B7,ACC0114,2026-01-10,10:50:40,UPI Transfer to ACC0265,0,6853,102723
TXNFFFB7B72B7,ACC0265,2026-01-10,10:50:40,UPI Received from ACC0114,6853,0,44540
TXN0979ECB71C,ACC0145,2026-01-10,10:52:38,UPI Transfer to ACC0253,0,16259,12340
TXN0979ECB71C,ACC0253,2026-01-10,10:52:38,UPI Received from ACC0145,16259,0,49024
TXN9375495993,ACC0202,2026-01-10,10:53:28,UPI Transfer to ACC0243,0,15175,97499
TXN9375495993,ACC0243,2026-01-10,10:53:28,UPI Received from ACC0202,15175,0,126780
TXNC11E77BD0C,ACC0090,2026-01-10,10:54:27,UPI Transfer to ACC0258,0,10069,124933
TXNC11E77BD0C,ACC0258,2026-01-10,10:54:27,UPI Received from ACC0090,10069,0,107313
TXN787F12788C,ACC0051,2026-01-10,10:55:10,UPI Transfer to ACC0193,0,12244,42075
TXN787F12788C,ACC0193,2026-01-10,10:55:10,UPI Received from ACC0051,12244,0,104983
TXN11921BCD34,ACC0018,2026-01-10,10:56:11,UPI Transfer to ACC0079,0,23116,36294
TXN11921BCD34,ACC0079,2026-01-10,10:56:11,UPI Received from ACC0018,23116,0,111549
TXN4FDA363C77,ACC0194,2026-01-10,10:56:44,UPI Transfer to ACC0089,0,23525,50556
TXN4FDA363C77,ACC0089,2026-01-10,10:56:44,UPI Received from ACC0194,23525,0,36740
TXN9DD88CD0E8,ACC0018,2026-01-10,10:58:35,UPI Transfer to ACC0114,0,13391,22903
TXN9DD88CD0E8,ACC0114,2026-01-10,10:58:35,UPI Received from ACC0018,13391,0,116114
TXNDA53BE6638,ACC0194,2026-01-10,11:00:19,UPI Transfer to ACC0118,0,21071,29485
TXNDA53BE6638,ACC0118,2026-01-10,11:00:19,UPI Received from ACC0194,21071,0,114656
TXNAC0E1C5CC0,ACC0167,2026-01-10,11:01:30,UPI Transfer to ACC0216,0,12294,110768
TXNAC0E1C5CC0,ACC0216,2026-01-10,11:01:30,UPI Received from ACC0167,12294,0,109087
TXN964A798A5A,ACC0080,2026-01-10,11:03:25,UPI Transfer to ACC0162,0,2493,77608
TXN964A798A5A,ACC0162,2026-01-10,11:03:25,UPI Received from ACC0080,2493,0,76065
TXNCF7AF1358A,ACC0055,2026-01-10,11:04:32,UPI Transfer to ACC0052,0,24996,89985
TXNCF7AF1358A,ACC0052,2026-01-10,11:04:32,UPI Received from ACC0055,24996,0,92282
TXNEFC9521EDD,ACC0129,2026-01-10,11:06:30,UPI Transfer to ACC0174,0,23441,63769
TXNEFC9521EDD,ACC0174,2026-01-10,11:06:30,UPI Received from ACC0129,23441,0,68178
TXNCF57496969,ACC0292,2026-01-10,11:07:44,UPI Transfer to ACC0083,0,19118,111737
TXNCF57496969,ACC0083,2026-01-10,11:07:44,UPI Received from ACC0292,19118,0,57251
TXNB142F1019B,ACC0214,2026-01-10,11:08:55,UPI Transfer to ACC0226,0,17462,100567
TXNB142F1019B,ACC0226,2026-01-10,11:08:55,UPI Received from ACC0214,17462,0,105329
TXNF21319D87C,ACC0257,2026-01-10,11:10:54,UPI Transfer to ACC0289,0,23076,27263
TXNF21319D87C,ACC0289,2026-01-10,11:10:54,UPI Received from ACC0257,23076,0,126053
TXNC64725723C,ACC0179,2026-01-10,11:11:53,UPI Transfer to ACC0031,0,13776,57114
TXNC64725723C,ACC0031,2026-01-10,11:11:53,UPI Received from ACC0179,13776,0,108696
TXN175E6AEA47,ACC0267,2026-01-10,11:13:18,UPI Transfer to ACC0266,0,22341,55254
TXN175E6AEA47,ACC0266,2026-01-10,11:13:18,UPI Received from ACC0267,22341,0,154167
TXNF33B642BF1,ACC0264,2026-01-10,11:14:28,UPI Transfer to ACC0011,0,24967,59478
TXNF33B642BF1,ACC0011,2026-01-10,11:14:28,UPI Received from ACC0264,24967,0,132115
TXND464840C27,ACC0182,2026-01-10,11:15:45,UPI Transfer to ACC0127,0,19610,53392
TXND464840C27,ACC0127,2026-01-10,11:15:45,UPI Received from ACC0182,19610,0,27686
TXNDABE8DA407,ACC0065,2026-01-10,11:17:15,UPI Transfer to ACC0238,0,1105,65610
TXNDABE8DA407,ACC0238,2026-01-10,11:17:15,UPI Received from ACC0065,1105,0,29716
TXNC230EFBB2E,ACC0282,2026-01-10,11:18:41,UPI Transfer to ACC0218,0,20117,4258
TXNC230EFBB2E,ACC0218,2026-01-10,11:18:41,UPI Received from ACC0282,20117,0,115125
TXN6D4E072431,ACC0040,2026-01-10,11:19:11,UPI Transfer to ACC0143,0,11261,45590
TXN6D4E072431,ACC0143,2026-01-10,11:19:11,UPI Received from ACC0040,11261,0,104447
TXNC8B43541BD,ACC0148,2026-01-10,11:20:08,UPI Transfer to ACC0024,0,11493,109903
TXNC8B43541BD,ACC0024,2026-01-10,11:20:08,UPI Received from ACC0148,11493,0,68702
TXN09E7745A1B,ACC0014,2026-01-10,11:21:09,UPI Transfer to ACC0028,0,24907,87530
TXN09E7745A1B,ACC0028,2026-01-10,11:21:09,UPI Received from ACC0014,24907,0,162622
TXN46480ABB06,ACC0243,2026-01-10,11:22:15,UPI Transfer to ACC0264,0,2931,123849
TXN46480ABB06,ACC0264,2026-01-10,11:22:15,UPI Received from ACC0243,2931,0,62409
TXNDAEF15F92B,ACC0027,2026-01-10,11:23:43,UPI Transfer to ACC0128,0,9686,87435
TXNDAEF15F92B,ACC0128,2026-01-10,11:23:43,UPI Received from ACC0027,9686,0,90249
TXN4CA3F19A57,ACC0163,2026-01-10,11:24:35,UPI Transfer to ACC0137,0,18432,-6718
TXN4CA3F19A57,ACC0137,2026-01-10,11:24:35,UPI Received from ACC0163,18432,0,74516
TXN04C2729E32,ACC0284,2026-01-10,11:26:34,UPI Transfer to ACC0247,0,10557,77522
TXN04C2729E32,ACC0247,2026-01-10,11:26:34,UPI Received from ACC0284,10557,0,141700
TXN319D58C51A,ACC0205,2026-01-10,11:27:06,UPI Transfer to ACC0271,0,18211,77704
TXN319D58C51A,ACC0271,2026-01-10,11:27:06,UPI Received from ACC0205,18211,0,124791
TXN7194A1A122,ACC0198,2026-01-10,11:27:47,UPI Transfer to ACC0126,0,20910,57879
TXN7194A1A122,ACC0126,2026-01-10,11:27:47,UPI Received from ACC0198,20910,0,151827
TXN6A055F48BF,ACC0154,2026-01-10,11:28:37,UPI Transfer to ACC0284,0,21142,19918
TXN6A055F48BF,ACC0284,2026-01-10,11:28:37,UPI Received from ACC0154,21142,0,98664
TXN2146807519,ACC0263,2026-01-10,11:29:41,UPI Transfer to ACC0210,0,9650,19085
TXN2146807519,ACC0210,2026-01-10,11:29:41,UPI Received from ACC0263,9650,0,121515
TXN8EC3382749,ACC0265,2026-01-10,11:31:39,UPI Transfer to ACC0200,0,12403,32137
TXN8EC3382749,ACC0200,2026-01-10,11:31:39,UPI Received from ACC0265,12403,0,83217
TXNC2DE6D807B,ACC0183,2026-01-10,11:32:43,UPI Transfer to ACC0053,0,14765,68635
TXNC2DE6D807B,ACC0053,2026-01-10,11:32:43,UPI Received from ACC0183,14765,0,134684
TXN0A21834A70,ACC0269,2026-01-10,11:34:11,UPI Transfer to ACC0079,0,11406,156180
TXN0A21834A70,ACC0079,2026-01-10,11:34:11,UPI Received from ACC0269,11406,0,122955
TXN39E369950F,ACC0171,2026-01-10,11:35:36,UPI Transfer to ACC0045,0,12340,47291
TXN39E369950F,ACC0045,2026-01-10,11:35:36,UPI Received from ACC0171,12340,0,92191
TXNC5C3517CAC,ACC0067,2026-01-10,11:37:04,UPI Transfer to ACC0042,0,21847,82594
TXNC5C3517CAC,ACC0042,2026-01-10,11:37:04,UPI Received from ACC0067,21847,0,85044
TXN033CD6866F,ACC0253,2026-01-10,11:38:33,UPI Transfer to ACC0241,0,15628,33396
TXN033CD6866F,ACC0241,2026-01-10,11:38:33,UPI Received from ACC0253,15628,0,117501
TXN57B202FDFD,ACC0174,2026-01-10,11:39:17,UPI Transfer to ACC0023,0,7522,60656
TXN57B202FDFD,ACC0023,2026-01-10,11:39:17,UPI Received from ACC0174,7522,0,77607
TXNC549C0BBFD,ACC0099,2026-01-10,11:40:31,UPI Transfer to ACC0084,0,16903,49632
TXNC549C0BBFD,ACC0084,2026-01-10,11:40:31,UPI Received from ACC0099,16903,0,124505
TXN33FF84D99A,ACC0104,2026-01-10,11:41:27,UPI Transfer to ACC0186,0,19752,11496
TXN33FF84D99A,ACC0186,2026-01-10,11:41:27,UPI Received from ACC0104,19752,0,127694
TXN031C182032,ACC0182,2026-01-10,11:43:06,UPI Transfer to ACC0263,0,10478,42914
TXN031C182032,ACC0263,2026-01-10,11:43:06,UPI Received from ACC0182,10478,0,29563
TXN32DEA99177,ACC0201,2026-01-10,11:45:04,UPI Transfer to ACC0148,0,10469,59929
TXN32DEA99177,ACC0148,2026-01-10,11:45:04,UPI Received from ACC0201,10469,0,120372
TXN8293721B46,ACC0190,2026-01-10,11:46:50,UPI Transfer to ACC0065,0,24583,76952
TXN8293721B46,ACC0065,2026-01-10,11:46:50,UPI Received from ACC0190,24583,0,90193
TXN19D8FD6B1D,ACC0012,2026-01-10,11:48:41,UPI Transfer to ACC0073,0,12027,88360
TXN19D8FD6B1D,ACC0073,2026-01-10,11:48:41,UPI Received from ACC0012,12027,0,140252
TXN9A672E96E2,ACC0138,2026-01-10,11:50:37,UPI Transfer to ACC0032,0,4917,69707
